stv	HG00621.cenY	HG01109.cenY	HG01243.cenY	HG01358.cenY	HG02055.cenY	HG03579.cenY	RP-11.cenY	HG01890.chrY	HC02666.chrY	HG00358.chrY
S4CYH1L.1-15_26-31_32/34_35-46	40.0	27.0	35.0	44.0	203.0	43.0	43.0	67.0	119.0	176.0
S4CYH1L.1-15_26-46	2.0	6.0	0.0	0.0	6.0	5.0	0.0	5.0	7.0	4.0
S4CYH1L.1-15_26-31_31/32_32/34_35-46	0.0	0.0	6.0	7.0	11.0	0.0	9.0	0.0	0.0	0.0
S4CYH1L.1-15_26-30_30-31_32/34_35-46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.0	0.0
S4CYH1L.1-46	1.0	1.0	2.0	1.0	1.0	1.0	1.0	0.0	3.0	1.0
S4CYH1L.46	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0
S4CYH1L.1-15_26-30_32/34_35-46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	6.0	0.0
S4CYH1L.1-15_26_36-46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0
S4CYH1L.1-15_26-27_39-46	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0
S4CYH1L.42-46	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
S4CYH1L.1-44	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
S4CYH1L.1-10_26-31_32/34_35-46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0
S4CYH1L.1-3_46	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
S4CYH1L.1-2_38-46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
S4CYH1L.1-31_32/34_35-46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
S4CYH1L.1-15_26-31_32/34_35-38_40-46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0
S4CYH1L.1-15_26-31_32/34_35-42	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
S4CYH1L.1-5_5-15_26-31_32/34_35-46	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
S4CYH1L.1-15_26-28	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
S4CYH1L.8-15_26-31_32/34_35-46	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
S4CYH1L.40-46	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
S4CYH1L.1-15_26-27	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
S4CYH1L.1-5	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S4CYH1L.1-11	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S4CYH1L.32/34_35-46	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S4CYH1L.1-15_15_26-31_32/34_35-46	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
